Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,Filename,Year
31,Dangal,$303723636,$12391761,4.1%,$291331875,95.9%,2016.csv,2016
32,Passengers,$303144152,$100014699,33%,$203129453,67%,2016.csv,2016
33,Alice Through the Looking Glass,$299457024,$77041381,25.7%,$222415643,74.3%,2016.csv,2016
34,Miss Peregrine's Home for Peculiar Children,$296482446,$87242834,29.4%,$209239612,70.6%,2016.csv,2016
35,Teenage Mutant Ninja Turtles: Out of the Shadows,$245623848,$82051601,33.4%,$163572247,66.6%,2016.csv,2016
36,Sully,$240797623,$125070033,51.9%,$115727590,48.1%,2016.csv,2016
37,Assassin's Creed,$240697856,$54647948,22.7%,$186049908,77.3%,2016.csv,2016
38,Hidden Figures,$235956898,$169607287,71.9%,$66349611,28.1%,2016.csv,2016
39,Ghostbusters,$229147509,$128350574,56%,$100796935,44%,2016.csv,2016
40,Inferno,$220021259,$34343574,15.6%,$185677685,84.4%,2016.csv,2016
41,Central Intelligence,$216972543,$127440871,58.7%,$89531672,41.3%,2016.csv,2016
42,Bridget Jones's Baby,$211952420,$24252420,11.4%,$187700000,88.6%,2016.csv,2016
43,Me Before You,$208314186,$56245075,27%,$152069111,73%,2016.csv,2016
44,London Has Fallen,$205754447,$62524260,30.4%,$143230187,69.6%,2016.csv,2016
45,Arrival,$203388186,$100546139,49.4%,$102842047,50.6%,2016.csv,2016
46,The BFG,$195243411,$55483770,28.4%,$139759641,71.6%,2016.csv,2016
47,The Monkey King 2,$193678298,$709982,0.4%,$192968316,99.6%,2016.csv,2016
48,Bad Moms,$183936074,$113257297,61.6%,$70678777,38.4%,2016.csv,2016
49,Storks,$183388953,$72679278,39.6%,$110709675,60.4%,2016.csv,2016
50,From Vegas to Macau III,$181732879,-,-,$181732879,100%,2016.csv,2016
51,Hacksaw Ridge,$180563636,$67209615,37.2%,$113354021,62.8%,2016.csv,2016
52,Allegiant,$179246868,$66184051,36.9%,$113062817,63.1%,2016.csv,2016
53,Operation Mekong,$173839072,$800012,0.5%,$173039060,99.5%,2016.csv,2016
54,The Girl on the Train,$173185859,$75395035,43.5%,$97790824,56.5%,2016.csv,2016
55,The Huntsman: Winter's War,$164989338,$48390190,29.3%,$116599148,70.7%,2016.csv,2016
56,The Magnificent Seven,$162360636,$93432655,57.5%,$68927981,42.5%,2016.csv,2016
57,Jack Reacher: Never Go Back,$162146076,$58697076,36.2%,$103449000,63.8%,2016.csv,2016
58,Don't Breathe,$157830487,$89217875,56.5%,$68612612,43.5%,2016.csv,2016
59,The Accountant,$155160045,$86260045,55.6%,$68900000,44.4%,2016.csv,2016
60,Lights Out,$148868835,$67268835,45.2%,$81600000,54.8%,2016.csv,2016
61,Time Raiders,$145819137,-,-,$145819137,100%,2016.csv,2016
