Rank,Release Group,Worldwide,Domestic,Foreign,Filename,Year,Domestic %,Foreign %
138,The Great Wall,334933831,45540830,289393001,2016.csv,2016,0.13596963276008986,0.8640303672399101
139,Now You See Me 2,334897606,65075540,269822066,2016.csv,2016,0.19431473630778956,0.8056852636922105
140,Never Say Die,334530869,0,334530869,2017.csv,2017,0.0,1.0
141,The Good Dinosaur,332207671,123087120,209120551,2015.csv,2015,0.3705125761530052,0.6294874238469947
142,Crazy Alien,327598891,0,327598891,2019.csv,2019,0.0,1.0
143,John Wick: Chapter 3 - Parabellum,326709727,171015687,155694040,2019.csv,2019,0.5234484096030603,0.47655159039693973
144,Taken 3,326479141,89256424,237222717,2015.csv,2015,0.27339089329446625,0.7266091067055338
145,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,2015.csv,2015,0.5012331894993571,0.4987668105006429
146,Green Book,321752656,85080171,236672485,2018.csv,2018,0.26442725308847176,0.7355727469115282
147,The Conjuring 2,320392818,102470008,217922810,2016.csv,2016,0.31982617038562955,0.6801738296143705
148,Sonic the Hedgehog,319715683,148974665,170741018,2020.csv,2020,0.46595982906475064,0.5340401709352494
149,Maze Runner: The Scorch Trials,312296056,81697192,230598864,2015.csv,2015,0.2616017411375826,0.7383982588624174
150,Resident Evil: The Final Chapter,312242626,26830068,285412558,2016.csv,2016,0.085926986791355,0.914073013208645
151,The Lego Batman Movie,311950384,175750384,136200000,2017.csv,2017,0.5633921066114155,0.4366078933885845
152,Knives Out,311539397,165363234,146176163,2019.csv,2019,0.530793972102347,0.46920602789765303
153,The Ex-File 3: The Return of The Exes,307592427,838959,306753468,2017.csv,2017,0.002727502130603495,0.9972724978693965
154,Annabelle: Creation,306515884,102092201,204423683,2017.csv,2017,0.33307311734617967,0.6669268826538203
155,Wonder,305937718,132422809,173514909,2017.csv,2017,0.43284237676114196,0.5671576232388581
156,Skyscraper,304868961,68420120,236448841,2018.csv,2018,0.22442468323300382,0.7755753167669962
157,Dangal,303723636,12391761,291331875,2016.csv,2016,0.04079946217949267,0.9592005378205073
158,Passengers,303144152,100014699,203129453,2016.csv,2016,0.3299245535173642,0.6700754464826357
159,Alice Through the Looking Glass,299457024,77041381,222415643,2016.csv,2016,0.257270241889534,0.7427297581104659
160,Ocean's Eight,297718711,140218711,157500000,2018.csv,2018,0.47097715333048046,0.5290228466695195
161,The Divergent Series: Insurgent,297002527,130179072,166823455,2015.csv,2015,0.4383096444159211,0.5616903555840789
162,Miss Peregrine's Home for Peculiar Children,296482446,87242834,209239612,2016.csv,2016,0.29425969455203427,0.7057403054479657
163,Ferdinand,296069199,84410380,211658819,2017.csv,2017,0.28510355107894897,0.7148964489210511
164,Pacific Rim: Uprising,290930148,59874525,231055623,2018.csv,2018,0.20580378283793402,0.794196217162066
165,Maze Runner: The Death Cure,288175335,58032443,230142892,2018.csv,2018,0.2013789382772818,0.7986210617227182
166,Pitch Perfect 2,287144079,184296230,102847849,2015.csv,2015,0.6418249355578737,0.35817506444212627
167,Split,278454358,138291365,140162993,2017.csv,2017,0.4966392553281569,0.5033607446718431
168,Tomb Raider,274650803,58250803,216400000,2018.csv,2018,0.21209041577060309,0.7879095842293969
169,Terminator: Dark Fate,261119292,62253077,198866215,2019.csv,2019,0.23840856998034446,0.7615914300196556
170,Mojin: The Lost Legend,259368448,1243810,258124638,2015.csv,2015,0.004795533186827721,0.9952044668131723
171,Blade Runner 2049,259239658,92054159,167185499,2017.csv,2017,0.35509288860425825,0.6449071113957418
172,Parasite,258774734,53369749,205404985,2019.csv,2019,0.20624018494788598,0.793759815052114
173,Kung Fu Yoga,257743016,362657,257380359,2017.csv,2017,0.0014070487946800467,0.99859295120532
174,Lost in Hong Kong,256283912,1302281,254981631,2015.csv,2015,0.005081399725161055,0.9949186002748389
175,Pegasus,255863112,0,255863112,2019.csv,2019,0.0,1.0
176,Halloween,255485178,159342015,96143163,2018.csv,2018,0.6236839892136522,0.37631601078634785
177,Get Out,255407969,176040665,79367304,2017.csv,2017,0.6892528282858708,0.31074717171412924
178,Us,255184580,175084580,80100000,2019.csv,2019,0.6861095603817441,0.3138904396182559
179,Baahubali 2: The Conclusion,254158390,20186659,233971731,2017.csv,2017,0.07942550706274147,0.9205744929372586
180,Men in Black: International,253890701,80001807,173888894,2019.csv,2019,0.31510333653377876,0.6848966634662212
181,X-Men: Dark Phoenix,252442974,65845974,186597000,2019.csv,2019,0.26083504308580996,0.73916495691419
182,Journey to the West: The Demons Strike Back,247585244,880346,246704898,2017.csv,2017,0.0035557288704976295,0.9964442711295024
183,Glass,246999039,111048468,135950571,2019.csv,2019,0.44959068848846817,0.5504093115115318
184,The Peanuts Movie,246233113,130178411,116054702,2015.csv,2015,0.5286795484732388,0.47132045152676116
185,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,82051601,163572247,2016.csv,2016,0.3340538863311025,0.6659461136688974
186,Dolittle,245487753,77047065,168440688,2020.csv,2020,0.3138529888291413,0.6861470111708587
187,The Bravest,245179562,290217,244889345,2019.csv,2019,0.0011836916488169597,0.9988163083511831
188,Pixels,244874809,78747585,166127224,2015.csv,2015,0.3215830379677805,0.6784169620322195
189,Daddy's Home,242786137,150357137,92429000,2015.csv,2015,0.6192986916711806,0.38070130832881943
190,Alien: Covenant,240891763,74262031,166629732,2017.csv,2017,0.3082796608533269,0.6917203391466731
191,Sully,240797623,125070033,115727590,2016.csv,2016,0.5193989518742052,0.48060104812579485
192,Assassin's Creed,240697856,54647948,186049908,2016.csv,2016,0.2270396126835463,0.7729603873164537
193,Legend of Deification,240663149,214670,240448479,2020.csv,2020,0.0008919936471038197,0.9991080063528962
194,Crazy Rich Asians,238532921,174532921,64000000,2018.csv,2018,0.7316932198218459,0.2683067801781541
195,Hidden Figures,235956898,169607287,66349611,2016.csv,2016,0.7188062245164792,0.2811937754835207
196,Spy,235666219,110825712,124840507,2015.csv,2015,0.47026558354551445,0.5297344164544856
197,Alvin and the Chipmunks: The Road Chip,234798636,85886987,148911649,2015.csv,2015,0.3657899741802589,0.6342100258197412
198,Annabelle Comes Home,231252591,74152591,157100000,2019.csv,2019,0.32065626023623667,0.6793437397637634
199,Ghostbusters,229147509,128350574,100796935,2016.csv,2016,0.5601220565744837,0.43987794342551634
200,Goodbye Mr. Loser,228122928,1293626,226829302,2015.csv,2015,0.005670740820931423,0.9943292591790686
201,Paddington 2,227978523,40891591,187086932,2017.csv,2017,0.17936597913655225,0.8206340208634477
202,Youth,227091290,1891956,225199334,2017.csv,2017,0.00833125744276674,0.9916687425572333
203,Baby Driver,226945087,107825862,119119225,2017.csv,2017,0.47511873213628986,0.5248812678637101
204,Better Days,225918798,1921657,223997141,2019.csv,2019,0.008505963279779843,0.9914940367202202
205,Valerian and the City of a Thousand Planets,225874228,41189488,184684740,2017.csv,2017,0.18235585513545174,0.8176441448645483
206,Ford v Ferrari,225508210,117624357,107883853,2019.csv,2019,0.521596783549477,0.47840321645052303
207,Geostorm,221600160,33700160,187900000,2017.csv,2017,0.15207642449355632,0.8479235755064437
208,Inferno,220021259,34343574,185677685,2016.csv,2016,0.15609207108482184,0.8439079289151782
209,The Emoji Movie,217776646,86089513,131687133,2017.csv,2017,0.39531104267259215,0.6046889573274078
